,code,image,imageDate,name,brandId,brand,czk,eur,czksmap,eursmap,hasPrice,created,changed,new,stock,date,stock2,date2,stock3,date3,discontinued,weight,length,width,height,recycling_fee,descriptions,gallery,eans,specs,parts,attachments,type,size,hash,src,varCode,varName,czkold,eurold,codeMan
0,A1005,https://www.astramodel.cz/images/A/800x600/A1005.jpg,2014-04-08,Uhlíková tyčka 0.6mm (1m),32.0,ASTRA,89.0,3.5,89.0,3.5,True,2014-01-09,,False,True,,true,,high,,False,0.001,0.001,0.001,1.0,,"
				",,,,,,,,,,,,,,
1,A1010,https://www.astramodel.cz/images/A/800x600/A1010.jpg,2014-04-08,Uhlíková tyčka 0.8mm (1m),32.0,ASTRA,49.0,2.0,49.0,2.0,True,2014-01-09,,False,True,,true,,high,,False,0.001,0.001,0.001,1.0,,"
				",,,,,,,,,,,,,,
2,A1015,https://www.astramodel.cz/images/A/800x600/A1015.jpg,2014-04-08,Uhlíková tyčka 1.0mm (1m),32.0,ASTRA,35.0,1.4,35.0,1.4,True,2014-01-09,,False,True,,true,,high,,False,0.002,0.001,0.001,1.0,,"
				",,,,,,,,,,,,,,
3,A1020,https://www.astramodel.cz/images/A/800x600/A1020.jpg,2014-04-08,Uhlíková tyčka 1.2mm (1m),32.0,ASTRA,35.0,1.4,35.0,1.4,True,2014-01-09,,False,True,,true,,high,,False,0.002,0.002,0.002,1.0,,"
				",,,,,,,,,,,,,,
4,A1025,https://www.astramodel.cz/images/A/800x600/A1025.jpg,2014-04-08,Uhlíková tyčka 1.5mm (1m),32.0,ASTRA,35.0,1.4,35.0,1.4,True,2014-01-09,,False,True,,true,,high,,False,0.003,0.002,0.002,1.0,,"
				",,,,,,,,,,,,,,
